               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.013781,           0.0049163,          0.00071038,             0.97337,                   1,               0.995,               0.796,            0.011048,           0.0025772,          0.00022993,            0.002476,            0.002476,            0.002476
                 116,            0.013139,           0.0050552,          0.00061032,             0.97337,                   1,               0.995,               0.796,             0.01064,           0.0023281,           0.0002356,             0.00241,             0.00241,             0.00241
                 117,            0.013861,           0.0048371,          0.00048014,             0.97308,                   1,               0.995,               0.796,            0.010412,           0.0027478,          0.00023399,            0.002344,            0.002344,            0.002344
                 118,            0.013374,           0.0050132,          0.00057977,              0.9728,                   1,               0.995,              0.8955,           0.0089278,           0.0018748,          0.00020482,            0.002278,            0.002278,            0.002278
                 119,            0.013135,           0.0049981,          0.00049557,             0.97312,                   1,               0.995,              0.8955,            0.009442,           0.0023225,          0.00021915,            0.002212,            0.002212,            0.002212
                 120,            0.013302,            0.004812,          0.00049899,             0.97288,                   1,               0.995,              0.8955,           0.0095119,           0.0022399,          0.00023102,            0.002146,            0.002146,            0.002146
                 121,            0.013118,           0.0050144,          0.00050744,             0.97326,                   1,               0.995,              0.8955,           0.0095151,           0.0029154,           0.0002336,             0.00208,             0.00208,             0.00208
                 122,            0.012911,           0.0048329,          0.00056642,             0.97345,                   1,               0.995,               0.796,            0.010599,           0.0042464,            0.000242,            0.002014,            0.002014,            0.002014
                 123,             0.01277,           0.0049364,          0.00063207,             0.97355,                   1,               0.995,               0.796,            0.010559,            0.003362,          0.00022544,            0.001948,            0.001948,            0.001948
                 124,            0.012335,           0.0046877,          0.00040763,             0.97337,                   1,               0.995,               0.796,            0.010416,           0.0035688,          0.00022347,            0.001882,            0.001882,            0.001882
                 125,            0.012806,           0.0050402,          0.00047134,             0.97326,                   1,               0.995,               0.796,            0.010912,           0.0036889,            0.000213,            0.001816,            0.001816,            0.001816
                 126,            0.012597,           0.0047026,          0.00043495,             0.97319,                   1,               0.995,              0.8955,           0.0092224,           0.0025626,           0.0002093,             0.00175,             0.00175,             0.00175
                 127,            0.012523,           0.0045442,          0.00043555,                   1,                   1,               0.995,              0.8955,           0.0088559,           0.0023389,          0.00020765,            0.001684,            0.001684,            0.001684
                 128,            0.012999,           0.0048132,           0.0004515,             0.97283,                   1,               0.995,              0.8955,           0.0084819,            0.002031,          0.00020151,            0.001618,            0.001618,            0.001618
                 129,            0.012397,           0.0047691,          0.00052125,                   1,                   1,               0.995,              0.8955,           0.0089579,            0.002201,           0.0001987,            0.001552,            0.001552,            0.001552
                 130,            0.011998,           0.0047458,          0.00044428,             0.97341,                   1,               0.995,              0.8955,           0.0093713,           0.0027523,          0.00018614,            0.001486,            0.001486,            0.001486
                 131,            0.012732,           0.0048532,          0.00050631,                   1,                   1,               0.995,              0.8955,           0.0093651,           0.0032478,          0.00017877,             0.00142,             0.00142,             0.00142
                 132,            0.012268,           0.0046077,          0.00048077,                   1,                   1,               0.995,              0.8955,           0.0082618,           0.0030637,          0.00018206,            0.001354,            0.001354,            0.001354
                 133,            0.012848,           0.0050918,          0.00058884,             0.97362,                   1,               0.995,              0.8955,           0.0083005,            0.002809,          0.00018439,            0.001288,            0.001288,            0.001288
                 134,            0.012867,            0.004675,          0.00059701,             0.97336,                   1,               0.995,              0.8955,           0.0083178,           0.0023556,           0.0001709,            0.001222,            0.001222,            0.001222
                 135,            0.012597,           0.0048559,          0.00043182,             0.97334,                   1,               0.995,              0.8955,           0.0087521,           0.0024829,          0.00016426,            0.001156,            0.001156,            0.001156
                 136,            0.011856,           0.0045432,          0.00038939,             0.97364,                   1,               0.995,              0.8955,           0.0077804,           0.0022192,          0.00015953,             0.00109,             0.00109,             0.00109
                 137,            0.011872,           0.0049323,          0.00042237,                   1,                   1,               0.995,              0.8955,           0.0076158,           0.0021307,          0.00015282,            0.001024,            0.001024,            0.001024
                 138,            0.011857,           0.0044148,          0.00038994,                   1,                   1,               0.995,              0.8955,           0.0080948,            0.002131,          0.00014731,            0.000958,            0.000958,            0.000958
                 139,            0.012184,           0.0047284,           0.0004383,                   1,                   1,               0.995,              0.8955,           0.0090409,           0.0026026,          0.00014373,            0.000892,            0.000892,            0.000892
                 140,            0.011828,            0.004484,          0.00032045,              0.9734,                   1,               0.995,              0.8955,           0.0092582,           0.0032476,          0.00013971,            0.000826,            0.000826,            0.000826
                 141,            0.011899,           0.0048354,          0.00045151,             0.97361,                   1,               0.995,              0.8955,             0.00938,           0.0031426,          0.00013597,             0.00076,             0.00076,             0.00076
                 142,            0.012101,           0.0047824,          0.00037966,                   1,                   1,               0.995,              0.8955,           0.0092919,           0.0032428,          0.00014027,            0.000694,            0.000694,            0.000694
                 143,            0.011584,           0.0045478,           0.0003793,              0.9734,                   1,               0.995,              0.8955,            0.008969,           0.0026291,          0.00014011,            0.000628,            0.000628,            0.000628
                 144,            0.011533,           0.0045569,          0.00041274,                   1,                   1,               0.995,              0.8955,           0.0091903,            0.002817,          0.00013598,            0.000562,            0.000562,            0.000562
                 145,             0.01241,           0.0048258,          0.00053403,             0.97374,                   1,               0.995,              0.8955,           0.0093141,           0.0031493,           0.0001415,            0.000496,            0.000496,            0.000496
                 146,            0.011711,           0.0043975,          0.00043347,                   1,                   1,               0.995,              0.8955,           0.0089327,           0.0028244,          0.00013623,             0.00043,             0.00043,             0.00043
                 147,            0.010946,           0.0043611,          0.00033296,             0.97352,                   1,               0.995,              0.8955,           0.0084417,           0.0023576,           0.0001333,            0.000364,            0.000364,            0.000364
                 148,            0.011867,           0.0045698,          0.00046848,                   1,                   1,               0.995,              0.8955,           0.0086503,           0.0023211,          0.00013197,            0.000298,            0.000298,            0.000298
                 149,             0.01125,           0.0046111,          0.00032165,                   1,                   1,               0.995,              0.8955,           0.0087213,           0.0023362,          0.00012899,            0.000232,            0.000232,            0.000232
